[21:05:03] [INFO] received Windows console close event; shutting log-core down
[21:06:18] [INFO] received Windows console close event; shutting log-core down
[21:07:52] [INFO] received Windows console close event; shutting log-core down
[21:09:02] [INFO] received Windows console close event; shutting log-core down
[21:10:37] [INFO] received Windows console close event; shutting log-core down
[15:44:13] [INFO] received Windows console close event; shutting log-core down
[15:45:06] [INFO] received Windows console close event; shutting log-core down
[15:45:19] [INFO] received Windows console close event; shutting log-core down
[18:33:19] [INFO] received Windows console close event; shutting log-core down
[18:41:31] [INFO] received Windows console close event; shutting log-core down
[19:01:51] [INFO] received Windows console close event; shutting log-core down
[19:05:09] [INFO] received Windows console close event; shutting log-core down
[19:05:45] [INFO] received Windows console close event; shutting log-core down
[19:06:57] [INFO] received Windows console close event; shutting log-core down
[19:07:14] [INFO] received Windows console close event; shutting log-core down
[20:07:52] [INFO] received Windows console close event; shutting log-core down
[21:04:44] [INFO] received Windows console close event; shutting log-core down
[21:10:20] [INFO] received Windows console close event; shutting log-core down
[21:12:32] [INFO] received Windows console close event; shutting log-core down
[21:28:10] [INFO] received Windows console close event; shutting log-core down
[21:29:15] [INFO] received Windows console close event; shutting log-core down
[21:32:29] [INFO] received Windows console close event; shutting log-core down
[21:43:03] [INFO] received Windows console close event; shutting log-core down
[20:39:55] [INFO] received Windows console close event; shutting log-core down
[21:20:24] [INFO] received Windows console close event; shutting log-core down
[14:10:43] [INFO] received Windows console close event; shutting log-core down
[19:35:22] [INFO] received Windows console close event; shutting log-core down
[19:47:02] [INFO] received Windows console close event; shutting log-core down
[20:12:31] [INFO] received Windows console close event; shutting log-core down
[20:31:31] [INFO] received Windows console close event; shutting log-core down
[20:34:00] [INFO] received Windows console close event; shutting log-core down
[20:34:45] [INFO] received Windows console close event; shutting log-core down
[20:57:07] [INFO] received Windows console close event; shutting log-core down
[20:58:32] [INFO] received Windows console close event; shutting log-core down
[22:07:41] [INFO] received Windows console close event; shutting log-core down
[22:18:28] [INFO] received Windows console close event; shutting log-core down
[22:22:55] [INFO] received Windows console close event; shutting log-core down
[22:25:59] [INFO] received Windows console close event; shutting log-core down
[19:28:05] [INFO] received Windows console close event; shutting log-core down
[19:49:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:51:01] [INFO] received Windows console close event; shutting log-core down
[20:11:04] [INFO] received Windows console close event; shutting log-core down
[21:35:24] [INFO] received Windows console close event; shutting log-core down
[21:38:20] [INFO] received Windows console close event; shutting log-core down
[21:48:26] [INFO] received Windows console close event; shutting log-core down
[22:08:30] [INFO] received Windows console close event; shutting log-core down
[22:09:37] [INFO] received Windows console close event; shutting log-core down
[12:24:49] [INFO] received Windows console close event; shutting log-core down
[12:29:51] [INFO] received Windows console close event; shutting log-core down
[12:45:29] [INFO] received Windows console close event; shutting log-core down
[12:57:09] [INFO] received Windows console close event; shutting log-core down
[13:00:39] [INFO] received Windows console close event; shutting log-core down
[13:02:39] [INFO] received Windows console close event; shutting log-core down
[13:10:03] [INFO] received Windows console close event; shutting log-core down
[13:18:34] [INFO] received Windows console close event; shutting log-core down
[13:22:22] [INFO] received Windows console close event; shutting log-core down
[13:25:44] [INFO] received Windows console close event; shutting log-core down
[11:45:59] [INFO] received Windows console close event; shutting log-core down
[11:52:49] [INFO] received Windows console close event; shutting log-core down
[10:27:42] [INFO] received Windows console close event; shutting log-core down
[10:30:53] [INFO] received Windows console close event; shutting log-core down
[11:34:01] [INFO] received Windows console close event; shutting log-core down
[11:38:01] [INFO] received Windows console close event; shutting log-core down
